name,neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,city
Campton Place,Union Square,,,,,,1,1,1,1,1,2,2,1,San Francisco
Chez Panisse,Berkeley,,1,1,1,1,,,,,,,,,San Francisco
Chez TJ,Mountain View,,1,2,1,1,1,1,1,1,1,1,1,1,San Francisco
Coi,North Beach,,,1,2,2,2,2,2,2,2,2,2,3,San Francisco
Commis,Oakland,,,,,1,1,1,1,1,1,2,2,2,San Francisco
Commonwealth,Mission,,,,,,,,,,,1,1,1,San Francisco
Cortez,Financial District,,,1,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,San Francisco
Cyrus,Healdsburg,,2,2,2,2,2,2,Closed,Closed,Closed,Closed,Closed,Closed,San Francisco
Dio Deka,Los Gatos,,,,,,1,1,,,,,,,San Francisco
Dry Creek Kitchen,Healdsburg,,1,,,,,,,,,,,,San Francisco
El Paseo,Mill Valley,,,,,,1,Closed,Closed,Closed,Closed,Closed,Closed,Closed,San Francisco
Etoile,Yountville,,,,,1,1,1,,,Closed,Closed,Closed,Closed,San Francisco
Farmhouse Inn & Restaurant,Forestville,,1,1,1,1,1,1,1,1,1,1,1,1,San Francisco
Fifth Floor,SoMa,,1,1,1,1,,,,Closed,Closed,Closed,Closed,Closed,San Francisco
Fleur de Lys,Financial District,,1,1,1,1,1,1,,,Closed,Closed,Closed,Closed,San Francisco
Frances,Castro,,,,,,1,1,1,,,,,,San Francisco
Gary Danko,North Beach,,1,1,1,1,1,1,1,1,1,1,1,1,San Francisco
Hashiri,SoMa,,,,,,,,,,,,1,1,San Francisco
In Situ,SoMa,,,,,,,,,,,,,1,San Francisco
Jū-Ni,North Panhandle,,,,,,,,,,,,1,1,San Francisco
K&L Bistro,Sebastopol,,1,1,,,,,,,,,,,San Francisco
Keiko à Nob Hill,Nob Hill,,,,,,,,1,1,1,1,1,1,San Francisco
Kenzo,Napa,,,,,,,,,,,,,1,San Francisco
Kin Khao,Union Square,,,,,,,,,,,1,1,1,San Francisco
Kinjo,Russian Hill,,,,,,,,,,,,,1,San Francisco
Kusakabe,Financial District,,,,,,,,,,1,1,,,San Francisco
La Costanera,Montara,,,,,,,1,1,,,,,,San Francisco
La Folie,Russian Hill,,1,1,1,1,1,1,1,1,1,,,,San Francisco
La Toque,Rutherford,,,,,1,1,1,1,1,1,1,1,1,San Francisco
Lazy Bear,Mission,,,,,,,,,,,1,2,2,San Francisco
Lord Stanley,Nob Hill,,,,,,,,,,,1,1,1,San Francisco
Luce,SoMa,,,,,1,1,1,1,1,1,1,1,1,San Francisco
Madera,Menlo Park,,,,,1,1,1,1,1,1,,1,1,San Francisco
Madrona Manor,Healdsburg,,,1,1,1,1,1,1,1,1,1,1,1,San Francisco
Manresa,Los Gatos,,2,2,2,2,2,2,2,2,2,3,3,3,San Francisco
Martini House,St. Helena,,,1,1,,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,San Francisco
Maruya,Mission,,,,,,,,,,1,,,,San Francisco
Masa's,Nob Hill,,1,1,1,1,1,1,1,Closed,Closed,Closed,Closed,Closed,San Francisco
Michael Mina,Financial District,,2,2,2,1,,1,1,1,1,1,1,1,San Francisco
Mirepoix,Windsor,,,,,,1,Closed,Closed,Closed,Closed,Closed,Closed,Closed,San Francisco
Mister Jiu’s,Chinatown,,,,,,,,,,,,1,1,San Francisco
Mosu,Fillmore,,,,,,,,,,,,1,,San Francisco
Mourad,SoMa,,,,,,,,,,,1,1,1,San Francisco
Murray Circle,Sausalito,,,,1,1,1,,,,,,,,San Francisco
Nico,Pacific Heights,,,,,,,,,,,1,1,,San Francisco
Octavia,Lower Pacific Heights,,,,,,,,,,,1,1,1,San Francisco
Omakase,SoMa,,,,,,,,,,,1,1,1,San Francisco
